accuracy, f1score, precision, recall
0.5,0.666666667,1,0.5
0.5,0.666666667,1,0.5
0.6,0.666666667,0.5,1
0.6,0.666666667,0.5,1
0.5,0.625,0.555555556,0.714285714
0.5,0.625,0.555555556,0.714285714
0.833333333,0.888888889,0.8,1
0.833333333,0.888888889,0.8,1
0.666666667,0.8,1,0.666666667
0.666666667,0.8,1,0.666666667
1,1,1,1
1,1,1,1
0.8,0.857142857,1,0.75
0.8,0.857142857,1,0.75
0.8,0.869565217,0.833333333,0.909090909
0.8,0.869565217,0.833333333,0.909090909
1,1,1,1
1,1,1,1
0.733333333,0.75,0.666666667,0.857142857
0.733333333,0.75,0.666666667,0.857142857
0.6875,0.761904762,0.888888889,0.666666667
0.6875,0.761904762,0.888888889,0.666666667
0.5,0.571428571,0.5,0.666666667
0.5,0.571428571,0.5,0.666666667
0.571428571,0.571428571,0.5,0.666666667
0.571428571,0.571428571,0.5,0.666666667
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.625,0.727272727,0.571428571,1
0.625,0.727272727,0.571428571,1
0.5,0.5,0.333333333,1
0.5,0.5,0.333333333,1
0.636363636,0.777777778,0.875,0.7
0.636363636,0.777777778,0.875,0.7
0.4,0.5,0.375,0.75
0.4,0.5,0.375,0.75
0.272727273,0.2,0.125,0.5
0.272727273,0.2,0.125,0.5
1,1,1,1
1,1,1,1
0.285714286,0.285714286,0.166666667,1
0.285714286,0.285714286,0.166666667,1
0.714285714,0.8,1,0.666666667
0.714285714,0.8,1,0.666666667
0.625,0.727272727,0.8,0.666666667
0.625,0.727272727,0.8,0.666666667
1,1,1,1
1,1,1,1
0.75,0.769230769,1,0.625
0.75,0.769230769,1,0.625
0.75,0.8,1,0.666666667
0.75,0.8,1,0.666666667
0.5,0.5,1,0.333333333
0.5,0.5,1,0.333333333
0.833333333,0.857142857,1,0.75
0.833333333,0.857142857,1,0.75
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.5,0.666666667,1,0.5
0.5,0.666666667,1,0.5
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.5,0.666666667,1,0.5
0.5,0.666666667,1,0.5
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.625,0.4,0.333333333,0.5
0.625,0.4,0.333333333,0.5
0.692307692,0.8,0.8,0.8
0.692307692,0.8,0.8,0.8
1,1,1,1
1,1,1,1
0.75,0.8,0.666666667,1
0.75,0.8,0.666666667,1
0.75,0.833333333,1,0.714285714
0.75,0.833333333,1,0.714285714
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.75,0.8,1,0.666666667
0.75,0.8,1,0.666666667
1,1,1,1
1,1,1,1
0.375,0.285714286,0.166666667,1
0.375,0.285714286,0.166666667,1
1,1,1,1
1,1,1,1
0.8,0.857142857,1,0.75
0.8,0.857142857,1,0.75
1,1,1,1
1,1,1,1
0.833333333,0.857142857,1,0.75
0.833333333,0.857142857,1,0.75
1,1,1,1
1,1,1,1
0.714285714,0.833333333,1,0.714285714
0.714285714,0.833333333,1,0.714285714
0.571428571,0.727272727,0.666666667,0.8
0.571428571,0.727272727,0.666666667,0.8
1,1,1,1
1,1,1,1
0.571428571,0.727272727,0.8,0.666666667
0.571428571,0.727272727,0.8,0.666666667
1,1,1,1
1,1,1,1
